question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هو المكون في جدول طوبولوجي EIGRP الذي يمثل المسافة التي يحددها تقرير الجار للوصول إلى الهدف؟","Feasible Distance (FD)","Router Source","Reported Distance (RD)","Interface Information","C","المسافة المعلنة (Reported Distance) هي المسافة التي يخبرنا بها الجار عن بعده عن الهدف.","جدول الطوبولوجي يحتوي على عدة قيم مترية، الـ RD هي ما يراه الجار، بينما FD هي المسافة الكلية من الموجه الحالي.","FD هي المسافة العملية الكلية من الموجه الحالي إلى الهدف، وليست ما يحدده تقرير الجار.","Router Source هو رقم الموجه الذي أعلمنا عن هذا الطريق وليس قيمة المسافة.","","Interface Information تشير إلى البوابة التي يصل عبرها الهدف ولا تمثل مسافة."
"في بروتوكول EIGRP، متى تكون حالة الطريق في وضع ""Passive""؟","عندما يكون هناك عملية حسابية جارية.","عندما يكون الطريق جاهزاً للاستعمال ومستقراً.","عندما يفشل الطريق الخلف (Successor).","عندما يتم تفعيل خاصية auto-summary.","B","الحالة Passive تعني أن الطريق جاهز للاستعمال ولا توجد عمليات حسابية جارية عليه.","حالة الطريق تعبر عن استقراره؛ Passive تعني الاستقرار، بينما Active تعني البحث عن مسار بديل.","هذا الوصف ينطبق على الحالة Active حيث يقوم DUAL بحسابات.","","فشل الطريق الخلف يؤدي عادة إلى تحول الحالة إلى Active للبحث عن بديل، ولا يعني الاستقرار.","auto-summary هو أمر لتلخيص العناوين ولا علاقة له بحالة استقرار الطريق الفردي."
"أي مما يلي يصف الترتيب الصحيح لتخزين الطرق في جدول طوبولوجي EIGRP؟","الحلقات أولاً، ثم الطريق الخلف.","الطريق الخلف (Successor)، ثم الطريق الخلف العملي (Feasible Successor).","الطريق الخلف العملي، ثم الطريق الخلف.","الطرق ذات الحالة Active أولاً.","B","يتم تخزين الطريق الخلف (الأفضل) أولاً، ثم الطريق الخلف العملي (الاحتياطي).","EIGRP يرتب الطرق في الجدول بناءً على الأفضلية: Successor (الأفضل) ثم Feasible Successor (الاحتياطي) ثم الحلقات.","الحلقات توضع في أسفل الجدول وليس في بدايته.","","الترتيب يبدأ بالأفضل (Successor) وليس الاحتياطي.","Active هي حالة للطريق وليست معياراً للترتيب الهيكلي الثابت في الجدول."
"ما هي الوظيفة الأساسية للمنطقة Area 0 في بروتوكول OSPF؟","تستخدم لتوصيل الموجهات الطرفية فقط.","تمثل العمود الفقري للشبكة ويجب أن تتصل بها جميع المناطق الأخرى.","تستخدم فقط عند تفعيل التلخيص التلقائي.","هي منطقة اختيارية لا تؤثر على عمل الشبكة.","B","Area 0 ضرورية لأنها العمود الفقري الذي يربط كافة المناطق الأخرى ببعضها.","OSPF يعمل بهرمية حيث Area 0 هي القلب (Backbone) الذي يمنع الحلقات بين المناطق.","المناطق الطرفية تتصل بـ Area 0، وليست Area 0 مخصصة للأطراف فقط.","","التلخيص يمكن أن يحدث، لكن وظيفة Area 0 الأساسية هي الربط الهيكلي (Backbone).","Area 0 ليست اختيارية في التصميم متعدد المناطق، فهي ضرورية للربط."
"عند اختيار Router ID في OSPF، ما هي الأولوية الأولى التي ينظر إليها الموجه؟","أعلى عنوان IP على واجهة Loopback.","أعلى عنوان IP على واجهة فيزيائية.","التحديد اليدوي باستخدام الأمر router-id.","أقل قيمة للمسافة الإدارية (AD).","C","التحديد اليدوي (Manually) هو الأولوية القصوى، يليه Loopback، ثم الواجهة الفيزيائية.","ترتيب اختيار الهوية: 1- يدوي، 2- Loopback، 3- فيزيائي نشط.","واجهة Loopback هي الخيار الثاني في حال عدم التحديد اليدوي.","الواجهة الفيزيائية هي الخيار الثالث والأخير.","","المسافة الإدارية تستخدم للمفاضلة بين البروتوكولات ولا علاقة لها بتحديد هوية الموجه."
"ماذا تعني الحالة ""Active"" لطريق معين في جدول EIGRP؟","الطريق يعمل بكفاءة عالية.","الطريق تم حذفه نهائياً.","هناك عملية حسابية تجري عن طريق DUAL لإيجاد مسار.","الطريق تم تحديده كحلقة (Loop).","C","الحالة Active تعني أن الموجه يقوم حالياً بحسابات لإيجاد بديل للطريق، وهي حالة غير مستقرة.","Active في EIGRP تعني (نشط في البحث والحساب) وليس نشط في التوجيه.","العمل بكفاءة واستقرار يسمى Passive.","الطريق المحذوف يختفي من الجدول، أما Active فهو موجود ولكن قيد المعالجة.","","الحلقات توضع أسفل الجدول، لكن الحالة Active تعني عملية البحث عن مسار."
"أي من العبارات التالية تصف بروتوكول OSPF بشكل دقيق؟","بروتوكول مسافة موجهة (Distance Vector) مملوك لشركة Cisco.","بروتوكول حالة وصلة (Link-state) ومفتوح المصدر (Open Standard).","بروتوكول هجين لا يدعم المناطق (Areas).","يعتمد كلياً على عدد القفزات (Hop Count).","B","OSPF هو بروتوكول Link-state وغير مملوك لشركة معينة (Open Standard).","OSPF يعتمد على خوارزمية Dijkstra (حالة الوصلة) وهو معيار مفتوح للجميع.","هذا الوصف ينطبق على EIGRP (قبل أن يصبح مفتوحاً جزئياً) وليس OSPF.","","هذا الوصف ينطبق على EIGRP، بينما OSPF يدعم المناطق بشكل أساسي.","الاعتماد على عدد القفزات هو خصيصة بروتوكول RIP."
"في جدول طوبولوجي EIGRP، ماذا تمثل القيمة (FD)؟","المسافة التي يعلنها الجار.","المسافة العملية وهي أقل metric محسوب إلى الهدف.","رقم المنفذ الذي يتم الخروج منه.","عنوان الموجه المجاور.","B","FD (Feasible Distance) هي المسافة العملية الكلية للوصول للهدف.","FD هي التكلفة الكلية من الراوتر المحلي إلى الهدف، وتختلف عن RD التي تأتي من الجار.","هذا تعريف Reported Distance (RD).","","رقم المنفذ يندرج تحت Interface Information.","عنوان الموجه المجاور يندرج تحت Router Source."
"إذا لم يتم تحديد Router ID يدوياً في OSPF، ولم توجد واجهات Loopback، كيف يتم اختياره؟","عشوائياً.","أقل عنوان IP على واجهة فيزيائية.","أعلى عنوان IP على واجهة فيزيائية فعالة.","عنوان IP الخاص بـ Area 0.","C","في غياب التحديد اليدوي والـ Loopback، يتم اختيار أعلى عنوان IP على الواجهات الفيزيائية.","آلية الاختيار التلقائي تعتمد دائماً على القيمة الأعلى (Highest IP) للواجهات النشطة.","اختيار الهوية ليس عشوائياً بل يتبع خوارزمية محددة.","يتم اختيار أعلى عنوان وليس أقل عنوان.","","","لا يشترط أن يكون العنوان من Area 0، بل يتم النظر لجميع الواجهات الفعالة."
"أين تظهر الطرق التي حددها DUAL بأنها ""حلقات"" (Loops) في جدول EIGRP؟","في أعلى الجدول.","في أسفل الجدول.","لا تظهر في جدول الطوبولوجي أبداً.","تظهر كطريق خلف (Successor).","B","الطرق التي تعتبر حلقات توضع في أسفل جدول الطوبولوجي.","خوارزمية DUAL تصنف المسارات وتضع المسارات غير الصالحة (التي تشكل حلقات) في نهاية الجدول.","أعلى الجدول مخصص للطريق الأفضل (Successor).","","تظهر في الجدول ولكن في الأسفل لتمييزها.","الطريق الخلف هو مسار صالح، والحلقة مسار غير صالح، فلا يمكن أن يكون successor."
