question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هي المعادلة المبسطة التي يعتمد عليها بروتوكول IGRP في حساب قيمة الـ Metric؟","Bandwidth - Delay","Bandwidth + Delay","Bandwidth * Load","Reliability + Load","B","الصيغة المبسطة لحساب المقياس هي مجموع عرض النطاق الترددي والتأخير.","يعتمد IGRP في حساب المقياس (Metric) بشكل مبسط على جمع قيمتي الباندويث والتأخير.","خطأ: هذه صيغة طرح، بينما المعادلة تعتمد على الجمع.","صحيح: المعادلة هي مجموع الباندويث والتأخير.","خطأ: الضرب ليس العملية المستخدمة في الصيغة المبسطة.","خطأ: الموثوقية والحمل هما عوامل تؤخذ بعين الاعتبار ولكن ليسا المعادلة المبسطة الأساسية."
"أي من الخصائص التالية تعتبر فرقاً جوهرياً يميز EIGRP عن IGRP؟","EIGRP لا يدعم VLSM.","EIGRP يعتبر بروتوكول حالة وصلة (Link State) بالكامل.","EIGRP يدعم VLSM والتحديثات الجزئية.","EIGRP يستخدم مترياً (Metric) مكوناً من 16 بت.","C","بروتوكول IGRP فئوي (Classful) بينما EIGRP لا فئوي ويدعم VLSM والتحديثات الـ Incremental.","EIGRP هو بروتوكول متطور يدعم عنونة VLSM ويرسل تحديثات جزئية، عكس IGRP.","خطأ: EIGRP يدعم VLSM (قناع الشبكة متغير الطول).","خطأ: EIGRP هو بروتوكول هجين (Advanced Distance Vector) وليس Link State بالكامل.","صحيح: EIGRP يدعم VLSM والتحديثات التزايدية.","خطأ: EIGRP يستخدم مترياً بطول 32 بت وليس 16 بت."
"ماذا يطلق على ""أفضل مسار"" للوصول للشبكة والذي يوضع في جدول التوجيه في بروتوكول EIGRP؟","Feasible Successor","Successor","Active Path","Reported Distance","B","الـ Successor هو المسار الأفضل والأساسي، بينما Feasible Successor هو الاحتياطي.","المسار الأفضل (Successor) هو الذي يملك أقل تكلفة (FD) ويوضع في جدول التوجيه.","خطأ: هذا هو اسم المسار الاحتياطي وليس الأفضل.","صحيح: Successor هو المسار الأفضل الذي يوضع في جدول التوجيه.","خطأ: Active تعني أن الموجه يبحث عن مسار حالياً (حالة غير مستقرة).","خطأ: هذه هي الكلفة المعلنة من الجار وليست اسم المسار."
"في مصطلحات EIGRP، ما المقصود بـ RD (Reported Distance)؟","الكلفة الكلية من الموجه الحالي إلى الهدف.","الكلفة المعلنة من الجار للوصول إلى الهدف.","المسافة الفيزيائية بين الموجهين.","زمن تأخير الحزمة في الشبكة.","B","RD هي التكلفة التي يراها الجار ويخبر الموجه المحلي بها.","RD (Reported Distance) تمثل الكلفة التي حسبها الجار للوصول إلى الشبكة الهدف.","خطأ: هذا تعريف FD (Feasible Distance).","صحيح: هي الكلفة التي يبلغنا بها الجار.","خطأ: المسافة الفيزيائية ليست معياراً مباشراً في حساب التوجيه هنا.","خطأ: التأخير هو جزء من المعادلة وليس تعريف RD."
"ما هي الحالة التي تصف المسار بأنه ""مستقر"" في جدول توبولوجيا EIGRP؟","Active","Passive","Stuck In Active (SIA)","Disabled","B","الحالة Passive تعني أن الشبكة مستقرة ولا توجد عمليات بحث جارية عن مسار، وهي الحالة الطبيعية.","حالات المسار في EIGRP تكون إما Passive (مستقر) أو Active (قيد البحث).","خطأ: Active تعني البحث عن مسار جديد (غير مستقر).","صحيح: Passive تعني المسار مستقر ويعمل.","خطأ: SIA هي حالة تعليق سيئة تشير لمشكلة في الردود.","خطأ: Disabled تعني معطل تماماً."
"ماذا تعني حالة SIA في بروتوكول EIGRP؟","المسار يعمل بكفاءة عالية.","الموجه وجد مساراً بديلاً فورياً.","المسار عالق في الحالة النشطة لفترة طويلة دون رد من الجار.","تم إيقاف تفعيل البروتوكول على الوصلة.","C","SIA (Stuck In Active) تحدث عندما يبحث الموجه عن بديل ولا يستلم رداً، مما قد يؤدي لقطع العلاقة مع الجار.","SIA تعني Stuck In Active، أي أن المسار عالق في حالة البحث عن بديل.","خطأ: SIA هي حالة خطأ وليست دليلاً على الكفاءة.","خطأ: وجود بديل فوري يمنع حدوث الحالة Active من الأساس.","صحيح: المسار عالق في الحالة النشطة بانتظار رد لم يصل.","خطأ: لا علاقة لها بإيقاف البروتوكول يدوياً."
"ما هي الخوارزمية المستخدمة في EIGRP لمنع الحلقات (Loops) وتحديد المسارات؟","SPF (Shortest Path First)","Bellman-Ford","DUAL (Diffusing Update Algorithm)","Dijkstra","C","EIGRP يعتمد حصرياً على خوارزمية DUAL.","يستخدم EIGRP خوارزمية DUAL (Diffusing Update Algorithm) لحساب أفضل مسار ومنع الحلقات.","خطأ: SPF تستخدم في بروتوكول OSPF.","خطأ: Bellman-Ford تستخدم في RIP.","صحيح: خوارزمية DUAL هي الخاصة بـ EIGRP.","خطأ: Dijkstra هي نفسها SPF وتستخدم في OSPF."
"كم يبلغ طول قيمة الـ Metric في بروتوكول EIGRP مقارنة بـ IGRP؟","24 بت (نفس IGRP)","32 بت (أكبر لدقة أعلى)","16 بت (أقل لسرعة المعالجة)","64 بت (لدعم IPv6 فقط)","B","IGRP يستخدم 24 بت، بينما EIGRP يستخدم 32 بت (يتم الضرب بـ 256).","يستخدم EIGRP مترياً بطول 32 بت لزيادة الدقة مقارنة بـ 24 بت في IGRP.","خطأ: 24 بت هي قيمة IGRP القديمة.","صحيح: 32 بت لزيادة الدقة.","خطأ: 16 بت غير صحيحة وأقل من المطلوب.","خطأ: 64 بت غير صحيحة في هذا السياق."
"في جدول الجوار (Neighbor Table)، ماذا يعني أن قيمة Queue Count (QCnt) أكبر من الصفر؟","الشبكة تعمل بكفاءة ممتازة.","لا توجد حزم مرسلة حالياً.","هناك ازدحام أو مشكلة في الموجه (حزم تنتظر الإرسال).","تم استلام حزمة Hello للتو.","C","القيمة الطبيعية هي 0، أي رقم آخر يعني تكدس الحزم في طابور الانتظار مما يشير لمشكلة.","Queue Count يمثل عدد الباكيتات المنتظرة في صف الإرسال.","خطأ: الكفاءة تعني أن القيمة تكون صفراً (الفراغ).","خطأ: عدم وجود حزم يعني القيمة صفر.","صحيح: وجود رقم يعني ازدحام أو مشكلة في المعالجة.","خطأ: استلام Hello لا يرفع قيمة طابور الانتظار الصادر."
"ما هي وظيفة المسار الاحتياطي (Feasible Successor)؟","توزيع الحمل بالتساوي مع المسار الأساسي دائماً.","يحل محل المسار الأساسي فوراً في حال تعطله دون حسابات جديدة.","يتم استخدامه فقط لإرسال حزم Hello.","هو المسار الذي يملك أعلى قيمة Metric.","B","ميزة EIGRP الرئيسية هي وجود Feasible Successor جاهز للاستخدام الفوري لضمان سرعة التقارب.","الخلف العملي (Feasible Successor) هو مسار احتياطي خالٍ من الحلقات وجاهز للاستخدام.","خطأ: توزيع الحمل يتطلب إعدادات خاصة (Variance) ولا يحدث دائماً وتلقائياً.","صحيح: يحل محل المسار الأساسي فوراً عند تعطله.","خطأ: Hello ترسل للجيران للاكتشاف وليس عبر مسار محدد فقط.","خطأ: أعلى قيمة تعني أسوأ مسار ولا يتم اختياره كاحتياطي."
