question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هو التصنيف الأساسي لبروتوكول IS-IS والخوارزمية التي يعتمد عليها؟","بروتوكول متجه المسافة (Distance Vector) مشابه لـ RIP.","بروتوكول هجين (Hybrid) مشابه لـ EIGRP.","بروتوكول حالة الوصلة (Link State) مشابه لـ OSPF.","بروتوكول البوابة الخارجية (EGP) مشابه لـ BGP.","C","توضح المذكرات أن IS-IS هو بروتوكول توصية يعمل بخوارزمية مشابهة لـ Link state وبروتوكول OSPF.","يعتمد بروتوكول IS-IS على خوارزمية حالة الوصلة (Link State) لبناء خارطة كاملة للشبكة، تماماً مثل OSPF.","خطأ، لأن RIP يعتمد خوارزمية Distance Vector وليس Link State.","خطأ، لأن EIGRP يُصنف كبروتوكول هجين أو Advanced Distance Vector.","هذه هي الإجابة الصحيحة، حيث يعمل IS-IS بآلية Link State.","خطأ، لأن BGP يُصنف كبروتوكول Path Vector ويستخدم للربط بين الأنظمة المستقلة (EGP)."
"في سياق معايير ISO وبروتوكول IS-IS، ماذا يمثل المصطلح ""IS""؟","الأنظمة النهائية (Hosts).","الأنظمة الوسيطة (Routers).","أنظمة إدارة الشبكة (NMS).","نطاق التوجيه (Routing Domain).","B","في معايير ISO، يرمز IS (Intermediate System) إلى الأنظمة الوسيطة أي الموجهات (Routers).","المصطلحات في ISO تختلف عن TCP/IP؛ الموجه يسمى نظام وسيط (IS) والجهاز النهائي يسمى نظام نهائي (ES).","خطأ، الأنظمة النهائية في معايير ISO يُرمز لها بـ ES (End System).","هذه هي الإجابة الصحيحة، IS تعني Intermediate System وهو الموجه.","خطأ، أنظمة الإدارة لها مصطلحات وبروتوكولات مختلفة.","خطأ، نطاق التوجيه هو البيئة التي تعمل فيها البروتوكولات وليس الجهاز نفسه."
"لماذا يتطلب بروتوكول IS-IS استخدام عنوان NSAP بدلاً من الاكتفاء بـ IP؟","لأن عنوان IP لا يدعم تقسيم الشبكة إلى مناطق (Areas).","لأن IS-IS مبني على معايير ISO وليس TCP/IP ويحتاج لعنوان خاص لتعريف الموجه.","لأن عنوان NSAP يوفر تشفيراً أعلى للبيانات.","لأن IS-IS لا يعمل إلا على شبكات WAN التي لا تدعم IP.","B","IS-IS هو بروتوكول مبني أصلاً على معايير ISO وليس IP، لذا يحتاج لعنوان خاص (NSAP) لتعريف الموجه وتمكين توجيه رزم IP.","بروتوكول IS-IS صمم لشبكات CLNS (ISO) في الأصل، لذا يستخدم عناوين NSAP لتعريف العقد.","خطأ، عنوان IP يدعم تقسيم المناطق كما هو الحال في بروتوكول OSPF.","هذه هي الإجابة الصحيحة، IS-IS يعتمد معايير ISO ويحتاج عنوان NSAP للهوية.","خطأ، العنونة بـ NSAP تتعلق بالهوية والتوجيه وليس التشفير.","خطأ، IS-IS يعمل على مختلف الشبكات (LAN, MAN, WAN) ويدعم IP."
"ما هي المكونات الثلاثة الرئيسية التي يتكون منها عنوان NSAP؟","IP Address, Subnet Mask, Gateway.","Network ID, Host ID, Port Number.","Area ID, System ID, NSEL.","AS Number, Router ID, Interface ID.","C","يتكون عنوان NSAP من ثلاث وحدات رئيسية: Area ID، و System ID، و NSEL.","هيكلية عنوان NSAP تعتمد على تقسيم هرمي: معرف المنطقة، معرف النظام الفريد، ومحدد الخدمة (NSEL).","خطأ، هذه مكونات إعدادات بروتوكول IPv4 التقليدية.","خطأ، هذه مصطلحات عامة للشبكات ولا تمثل بنية NSAP.","هذه هي الإجابة الصحيحة، الجدول في المذكرات يوضح هذه الأقسام الثلاثة.","خطأ، هذه المصطلحات تستخدم في بروتوكولات مثل BGP و OSPF."
"ما هي القيمة التي يأخذها الحقل NSEL (N-Selector) عندما يتم استخدام العنوان لتعريف موجه (Router) في عملية التوجيه؟","00","01","FF","255","A","عند استخدام IS-IS للتوجيه، تكون قيمة NSEL (المعرف بـ Selector) غالباً 00.","حقل NSEL يحدد الخدمة في الطبقة العليا، وعندما يكون الهدف هو الموجه نفسه (للتوجيه)، تكون القيمة صفراً.","هذه هي الإجابة الصحيحة، القيمة 00 تشير للموجه نفسه (NET).","خطأ، القيم غير الصفرية تشير عادة إلى خدمات عليا وليس الموجه نفسه.","خطأ، هذه قيمة ست عشرية لا تستخدم لتعريف الموجه في هذا السياق.","خطأ، هذه القيمة العشرية لـ FF ولا تستخدم هنا."
"ما هو الطول المعتاد لعنوان NSAP المستخدم في IS-IS؟","ثابت دائماً 32 بت (4 بايت).","ثابت دائماً 128 بت (16 بايت).","متغير يتراوح بين 8 و 20 بايت.","متغير يتراوح بين 20 و 60 بايت.","C","طول عنوان NSAP ليس ثابتاً كلياً، بل يتراوح بين 8 و 20 بايت.","عناوين NSAP مرنة الطول، تبدأ بحد أدنى 8 بايت وتصل إلى 20 بايت كحد أقصى.","خطأ، هذا هو طول عنوان IPv4.","خطأ، هذا هو طول عنوان IPv6.","هذه هي الإجابة الصحيحة، الطول مرن بين 8 و 20 بايت.","خطأ، العنوان لا يتجاوز 20 بايت."
"كيف يتم اشتقاق الـ System ID من عنوان IP وفقاً للمخطط المذكور في الملاحظات؟","تحويل عنوان IP إلى النظام الست عشري (Hex) مباشرة.","استخدام عنوان MAC بدلاً من IP.","تقسيم IP إلى أجزاء عشرية وحشوها بالأصفار لتصبح 3 خانات لكل جزء.","عكس ترتيب البايتات في عنوان IP.","C","يتم تقسيم عنوان IP إلى ثلاثة أجزاء عشرية (مع الحشو بالأصفار) ثم تحويلها لصيغة System ID (مثال: 192.168.1.1 تصبح 192.168.001.001).","لضمان تفرد System ID عند استخدام IP، يتم إعادة تنسيق الأرقام العشرية للـ IP لتناسب طول System ID الثابت.","خطأ، المخطط المذكور يعتمد على التمثيل العشري المحشو (Padding) وليس Hex.","خطأ، استخدام MAC ممكن لكن السؤال يطلب الطريقة المشتقة من IP.","هذه هي الإجابة الصحيحة، يتم التقسيم والحشو بالأصفار.","خطأ، الترتيب يظل كما هو لسهولة القراءة والتحويل."
"في الإعدادات العملية (Configuration)، ما هو الأمر المستخدم لتفعيل واجهة (Interface) وجعلها تعمل؟","start interface","enable","no shutdown","activate","C","الأمر المستخدم لتشغيل الواجهة هو no shutdown كما ورد في الأكواد.","في أجهزة سيسكو (والأجهزة الشبيهة)، تكون المنافذ مغلقة افتراضياً ويجب تفعيلها يدوياً.","خطأ، هذا الأمر غير موجود في نظام IOS.","خطأ، الأمر enable يستخدم للانتقال من وضع المستخدم إلى وضع الامتياز.","هذه هي الإجابة الصحيحة، الأمر no shutdown يقوم بتفعيل المنفذ.","خطأ، هذا الأمر قد يستخدم في سياقات أخرى (مثل التراخيص) وليس لتشغيل الواجهة."
"ما هو الفرق الجوهري في ""الأنظمة النهائية"" بين معايير ISO وشبكات IP؟","تسمى في ISO بـ ES (End System) وفي IP بـ Host.","تسمى في ISO بـ IS وفي IP بـ Server.","الأنظمة النهائية في ISO تقوم بالتوجيه، بينما في IP لا تقوم بذلك.","لا يوجد فرق، كلاهما يستخدم مصطلح Host.","A","توضح المقارنة في المذكرات أن ES (End System) في معايير ISO يقابلها Host في معايير IP.","المصطلحات تختلف باختلاف المعيار القياسي (ISO Model vs TCP/IP Model).","هذه هي الإجابة الصحيحة، ES يقابل Host.","خطأ، IS يرمز للموجه (Router) وليس السيرفر.","خطأ، الأنظمة النهائية (ES) وظيفتها المعالجة وليست التوجيه في كلا النظامين.","خطأ، يوجد فرق في التسمية القياسية بين النظامين."
"عند إعداد OSPF في المذكرات، تم استخدام الأمر redistribute rip metric 15. ما وظيفة هذا الأمر؟","تحويل مسارات OSPF ليعملوا داخل RIP.","السماح لمسارات بروتوكول RIP بالدخول إلى جدول توجيه OSPF.","تغيير قيمة الـ Metric الخاصة بـ OSPF لتصبح 15.","إيقاف عمل RIP وتشغيل OSPF بدلاً منه.","B","الأمر redistribute rip داخل إعدادات OSPF يعني إعادة توزيع (نقل) المسارات التي تعلمها RIP ليتم الإعلان عنها داخل OSPF.","إعادة التوزيع (Redistribution) هي عملية مشاركة معلومات التوجيه بين بروتوكولات مختلفة.","خطأ، الأمر كُتب داخل إعدادات OSPF لاستيراد RIP، وليس العكس.","هذه هي الإجابة الصحيحة، الأمر يسمح بدخول مسارات RIP إلى OSPF.","خطأ، الميتريك هنا يخص المسارات الخارجية القادمة من RIP فقط وليس كل مسارات OSPF.","خطأ، الأمر يدمج المعلومات ولا يوقف عمل البروتوكول الآخر."
