question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هو الفرق الجوهري في حساب الكلفة بين المسارات الخارجية من نوع E1 ونوع E2 في OSPF؟","E1 تحسب الكلفة الخارجية فقط.","E2 تحسب الكلفة الخارجية مضافاً إليها كلفة الوصول للـ ASBR.","E2 تحسب الكلفة الخارجية فقط، بينما E1 تضيف كلفة المسار الداخلي للوصول للـ ASBR.","لا يوجد فرق بينهما في OSPF.","C","المسار E2 يحسب كلفة المسار الخارجي فقط، بينما E1 يحسب الكلفة الخارجية + كلفة الوصول إلى ASBR.","المسار E2 يحسب كلفة المسار الخارجي فقط، بينما E1 يحسب الكلفة الخارجية + كلفة الوصول إلى ASBR.","هذا تعريف خاطئ؛ E1 هو الذي يجمع الكلفة الداخلية والخارجية.","هذا تعريف خاطئ؛ E2 يحسب الكلفة الخارجية فقط ولا يضيف كلفة الوصول للـ ASBR.","","هناك فرق كبير في طريقة حساب الكلفة ويؤثر على اختيار المسار الأفضل."
"ما هي حالة الجار (Neighbor State) التي تعني أن الموجه قد استلم رزمة ترحيب (Hello) يظهر فيها معرفه الخاص (Router ID)؟","Down","Init","2-way","Full","C","حالة 2-way تعني أن الموجه رأى هويته في رزمة ترحيب الجار.","حالة 2-way تعني أن الموجه رأى هويته في رزمة ترحيب الجار.","حالة Down تعني عدم استلام أي رزم ترحيب إطلاقاً.","حالة Init تعني استلام رزمة ترحيب ولكن الموجه لم يرَ معرفه فيها بعد.","","حالة Full هي المرحلة النهائية حيث يتم تبادل قواعد البيانات بالكامل، وتأتي بعد مرحلة 2-way."
"أي نوع من مناطق OSPF يمنع دخول المسارات الخارجية (Type 5 LSAs) كلياً؟","Backbone Area","Standard Area","Stub Area","Transit Area","C","منطقة Stub تمنع دخول المسارات الخارجية إليها.","منطقة Stub تمنع دخول المسارات الخارجية إليها.","منطقة Backbone (Area 0) هي القلب الذي تمر عبره جميع المسارات بما فيها الخارجية.","المنطقة القياسية (Standard) تسمح بمرور جميع أنواع المسارات والـ LSAs.","","منطقة Transit تستخدم لمرور البيانات بين المناطق وليست نوعاً يمنع المسارات الخارجية بحد ذاته."
"ما هي الوظيفة الأساسية للموجه من نوع DR (Designated Router)؟","الربط بين مناطق OSPF المختلفة.","العمل كموجه احتياطي في حال تعطل الموجه الرئيسي.","الموجه الرئيسي لإرسال الإعلانات (LSA) نيابة عن الشبكة لتقليل الازدحام.","إدخال مسارات من بروتوكولات توجيه أخرى.","C","الـ DR هو الموجه الرئيسي لإرسال الإعلانات في الشبكات متعددة الوصول.","الـ DR هو الموجه الرئيسي لإرسال الإعلانات في الشبكات متعددة الوصول.","الربط بين المناطق هي وظيفة الموجه ABR.","العمل كموجه احتياطي هي وظيفة الموجه BDR.","","إدخال مسارات خارجية هي وظيفة الموجه ASBR."
"ما هو نوع الإعلان (LSA Type) الذي يولده موجه ASBR لوصف مسارات خارجية؟","Router LSA (Type 1)","Network LSA (Type 2)","AS External LSA (Type 5)","Summary LSA (Type 3)","C","الإعلان AS External (Type 5) يولده الموجه ASBR ويحتوي على معلومات البادئات الخارجية.","الإعلان AS External (Type 5) يولده الموجه ASBR ويحتوي على معلومات البادئات الخارجية.","هذا النوع يولده كل موجه لوصف وصلاته الخاصة داخل المنطقة.","هذا النوع يولده الموجه DR في الشبكات متعددة الوصول.","","هذا النوع يولده الموجه ABR لتلخيص المسارات بين المناطق."
"في بروتوكول OSPF، ماذا تعني حالة ""Down"" للجوار؟","الموجه يرسل رزم Hello ولكن لا يستقبل.","الموجه في حالة تبادل كامل لقواعد البيانات.","الموجه لا يرسل ولا يستقبل رزم ترحيب (Hello) من الجار.","تم تمكين OSPF وبدأ الإرسال فقط.","C","حالة Down تعني أن هناك موجه OSPF لا يرسل رزم ترحيب أو لم يتم استلام شيء منه.","حالة Down تعني أن هناك موجه OSPF لا يرسل رزم ترحيب أو لم يتم استلام شيء منه.","هذه الحالة قد تكون Attempt أو Init وليست Down.","هذه حالة Full.","","هذه الحالة تسمى Init."
"الموجه الذي يمتلك واجهة واحدة على الأقل في المنطقة 0 (Area 0) وواجهة في منطقة أخرى يسمى:","DR","ASBR","ABR","BDR","C","الـ ABR (موجه حدود الناحية) هو الذي له واجهة في المنطقة 0 وأخرى في منطقة غير صفرية.","الـ ABR (موجه حدود الناحية) هو الذي له واجهة في المنطقة 0 وأخرى في منطقة غير صفرية.","الـ DR هو دور يتم انتخابه داخل شبكة محلية (LAN) ولا علاقة له بحدود المناطق.","الـ ASBR هو الذي يربط OSPF ببروتوكول توجيه خارجي آخر.","","الـ BDR هو نائب الـ DR داخل الشبكة المحلية."
"ما هي المدة الافتراضية لمؤقت الترحيب (Hello Timer) في OSPF؟","30 ثانية","10 ثوانٍ","40 ثانية","60 ثانية","B","المدة الافتراضية بين كل رسالة ترحيب هي 10 ثوانٍ.","المدة الافتراضية بين كل رسالة ترحيب هي 10 ثوانٍ.","هذه القيمة قد تستخدم في شبكات NBMA وليس في الشبكات المذيعة (Broadcast) الافتراضية.","قيمة غير قياسية في الإعدادات الافتراضية.","","قيمة غير قياسية في الإعدادات الافتراضية."
"ما هو نوع الـ LSA الذي يصف كلفة وحالة وصلات الموجه ويخرج من كافة الموجهات داخل المنطقة؟","Network LSA","Summary LSA","Router LSA","External LSA","C","الـ Router LSA يصف كلفة وحالة وصلات الموجه وينشأ من كافة الموجهات.","الـ Router LSA يصف كلفة وحالة وصلات الموجه وينشأ من كافة الموجهات.","هذا يصف الشبكة ويصدره الـ DR فقط.","هذا يصف التلخيص بين المناطق ويصدره الـ ABR.","","هذا يصف المسارات الخارجية ويصدره الـ ASBR."
"ماذا يحدث في منطقة NSSA بالنسبة للمسارات الخارجية؟","تمنع دخول أي مسار خارجي ولا تسمح بوجود ASBR.","تسمح بمرور المسارات الخارجية (Type 5) دون تعديل.","تسمح بإدخال مسارات خارجية على شكل Type 7 ليتم تحويلها لاحقاً.","تستخدم فقط للمسارات الداخلية Intra-Area.","C","منطقة NSSA تسمح بإدخال مسارات خارجية ولكن على شكل نوع خاص (Type 7).","منطقة NSSA تسمح بإدخال مسارات خارجية ولكن على شكل نوع خاص (Type 7).","هذا وصف لمنطقة Stub العادية.","هذا وصف للمنطقة القياسية (Standard Area).","","جميع المناطق تدعم المسارات الداخلية، ما يميز NSSA هو تعاملها مع الخارجية."
"ما هي الخوارزمية المستخدمة في OSPF لحساب أفضل مسار (أقصر مسار)؟","DUAL","Bellman-Ford","SPF (Shortest Path First)","K-means","C","يستخدم OSPF خوارزمية SPF (والمعروفة بـ Dijkstra) لحساب أفضل المسارات.","يستخدم OSPF خوارزمية SPF (والمعروفة بـ Dijkstra) لحساب أفضل المسارات.","تستخدم في بروتوكول EIGRP.","تستخدم في بروتوكول RIP.","","تستخدم في تعلم الآلة وتجميع البيانات وليست للتوجيه."
"الإعلان الوصلي من النوع الرابع (Type 4 LSA - ASBR Summary) وظيفته:","الإعلان عن شبكات IP محددة في مناطق أخرى.","الإعلان عن مكان وجود الموجه ASBR للموجهات في المناطق الأخرى.","وصف حالة الوصلات داخل نفس المنطقة.","نقل معلومات عن الشبكات الخارجية مباشرة.","B","الـ Type 4 يولده الـ ABR ويحتوي على مكان موجه ASBR وليس معلومات بادئة IP.","الـ Type 4 يولده الـ ABR ويحتوي على مكان موجه ASBR وليس معلومات بادئة IP.","هذه وظيفة Type 3 Summary LSA.","هذه وظيفة Type 1 Router LSA.","","هذه وظيفة Type 5 External LSA."
